SchoolName,SchoolYear,School List,Type of School,Application Deadline,Application Fee,Fin Aid Deadline,Term,Months students begin,Months degrees conferred,# of Credit Hours for JD,SchoolType,AppDeadline,AppFee,FinancialAidDeadline,BeginningMonth,ConfersMonth,RequiredCreditHours
,2022,BOSTON UNIVERSITY,Private,"April 1, 2023",$85,"March 1, 2023",Semester,August/September,"January, May, August",85,,,,,,,
,2022,BRIGHAM YOUNG UNIVERSITY,Private,May 1,$0,May 1,Semester,August,"April, June, August, December",90,,,,,,,
,2022,BROOKLYN LAW SCHOOL,Private,Applications received by February 1 will receive priority review,none,June 30,Semester,"June, August","May, June, August, December",85,,,,,,,
,2022,CALIFORNIA WESTERN SCHOOL OF LAW,Private,"4/1/23,11/1/23",$0,"3/2/23, 9/30/23",Trimester,"January, August","April, August, December",90,,,,,,,
,2022,"CALIFORNIA-BERKELEY, UNIVERSITY OF",Public,"February 15, 2023",$75,"March 2, 2023",Semester,August,"May, December",85,,,,,,,
,2022,"CALIFORNIA-DAVIS, UNIVERSITY OF",Public,3/15,$0,FAFSA priority deadline: March 2,Semester,August,May and December,88,,,,,,,
,2022,"CALIFORNIA-IRVINE, UNIVERSITY OF",Public,03/15/2023,$0,02/01/2023,Semester,August,"May, December",86,,,,,,,
,2022,"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",Public,February 1,$75,March 2,Semester,August,"December, May",87,,,,,,,
,2022,CAMPBELL UNIVERSITY,Private,May 1,$0,May 1,Semester,August,"May, August, & December",90,,,,,,,
,2022,CAPITAL UNIVERSITY,Private,May 1st,$0.00,July 1st,Semester,August,"January, May, September",89,,,,,,,
,2022,CARDOZO SCHOOL OF LAW,Private,April 1st,$0,April 1st,Semester,May and August,"January, May/June, and September",84,,,,,,,
,2022,CASE WESTERN RESERVE UNIVERSITY,Private,April 1 and November 1,$40,May 1 and December 1,Semester,January and August,"January, May and August",88,,,,,,,
,2022,CATHOLIC UNIVERSITY OF AMERICA,Private,"June 30, 2023",$0,"May 1, 2023; July 1, 2023; September 1, 2023",Semester,August,"August, January and May",87,,,,,,,
,2022,CHAPMAN UNIVERSITY,Private,April 15 Priority Application Deadline; July 15 Final Application Deadline,$0,March 2,Semester,August,"January, June, September",88,,,,,,,
,2022,CHARLESTON SCHOOL OF LAW,Private,"March 1, November 1",$0,"July 1, December 15",Semester,"August, January","December, May, August",90,,,,,,,
,2022,"CHICAGO, UNIVERSITY OF",Private,12/1/2022; 3/1/2023,$90,3/1/2023,Quarter,September,"March, June, August, December",105,,,,,,,
,2022,CHICAGO-KENT COLLEGE OF LAW-IIT,Private,March 15,$0,April 1,Semester,"May, August","December, August and May",87,,,,,,,
,2022,"CINCINNATI, UNIVERSITY OF",Public,March 15th,$35,3/15/23,Semester,August,"May, August, December",90,,,,,,,
,2022,CITY UNIVERSITY OF NEW YORK,Public,May 15,$60.00,July 15,Semester,August,"May, January, and August",86,,,,,,,
,2022,CLEVELAND STATE UNIVERSITY,Public,5/1/23,$0,no deadline,Semester,August,December and May,90,,,,,,,
,2022,"COLORADO, UNIVERSITY OF",Public,April 1,$65.00,no deadlines,Semester,August,"May, August, December",89,,,,,,,
,2022,COLUMBIA UNIVERSITY,Private,11/15/2022,$85,03/01/2023,Semester,August / September,October / May,84,,,,,,,
,2022,"CONNECTICUT, UNIVERSITY OF",Public,April 30,$60,February 15,Semester,August,"January, May, and July",86,,,,,,,
,2022,CORNELL UNIVERSITY,Private,"November 1, January 8, March 1",$80,March 15,Semester,August,"May, August, December",84,,,,,,,
,2022,CREIGHTON UNIVERSITY,Private,Early admission: November 30; Application deadline: July 1; Scholarship consideration: March 31,$50,May 1,Semester,"May, August","May, August, December",90,,,,,,,
,2022,"DAYTON, UNIVERSITY OF",Private,"3/15, 5/1",$0,4/1,Trimester,"May, August","August, January, May",90,,,,,,,
,2022,"DENVER, UNIVERSITY OF",Private,6/1/2023,$65,6/1/2023,Semester,August,"May, August, December",90,,,,,,,
,2022,DEPAUL UNIVERSITY,Private,4/1/23,$0,,Semester,August,"May, July, December",86,,,,,,,
,2022,"DETROIT MERCY, UNIVERSITY OF",Private,April 15,$0,May 1,Semester,August,"December, May, July",90,,,,,,,
,2022,DISTRICT OF COLUMBIA,Public,May 1 (1L); June 15 (transfers and visitors),$40 (1L); $50 (transfers and visitors),March 15,Semester,"August, January, or May",May and October,90,,,,,,,
,2022,DRAKE UNIVERSITY,Private,April 1,$0,April 1,Semester,August,Dec/May/Aug,90,,,,,,,
,2022,DREXEL UNIVERSITY,Private,Rolling,$0,"March 1, 2022",Semester,May and August,"December, May, and September",85,,,,,,,
,2022,DUKE UNIVERSITY,Private,2/15,$80,3/15,Semester,August,"May, September, December",87,,,,,,,
,2022,DUQUESNE UNIVERSITY,Private,April 1,$0,May 1,Semester,August,May,87,,,,,,,
,2022,ELON UNIVERSITY,Private,July 15,$0,July 15,Trimester,August,December,86,,,,,,,
,2022,EMORY UNIVERSITY,Private,March 1,$85,March 1,Semester,August,"May, August",90,,,,,,,
,2022,FAULKNER UNIVERSITY,Private,7/15/2023,$0,7/15/2023,Semester,August,"May, July/August, December",90,,,,,,,
,2022,FLORIDA A&M UNIVERSITY,Public,April 30 (priority); May 31,$0,May 1,Semester,August,"May, August, December",90,,,,,,,
,2022,FLORIDA INTERNATIONAL UNIVERSITY,Public,"June 30, 2023",$20,February 15,Semester,August,"December, May, August",90,,,,,,,
,2022,FLORIDA STATE UNIVERSITY,Public,"3/15/2023, 7/31/2023",$30.00,3/15/2023,Semester,August,"May, September, January",88,,,,,,,
,2022,"FLORIDA, UNIVERSITY OF",Public,Rolling,$30,Rolling,Semester,August,"August, December, May",88,,,,,,,
,2022,FORDHAM UNIVERSITY,Private,03/15/2023,$75,4/15/2023,Semester,August,"September, February, May",83,,,,,,,
,2022,GEORGE MASON UNIVERSITY,Public,Priority: March 1 / Regular: April 30,$0,Priority: July 15,Semester,August,"May, July, December",89,,,,,,,
,2022,GEORGE WASHINGTON UNIVERSITY,Private,March 1,$0,March 1,Semester,"August, January","September, January, May",84,,,,,,,
,2022,GEORGETOWN UNIVERSITY,Private,"March 1, 2023",$85.00,"March 31, 2023",Semester,August,"June, October, February",85,,,,,,,
,2022,GEORGIA STATE UNIVERSITY,Public,June 1,$50.00,April 1,Semester,August,"January, June, August",90,,,,,,,
,2022,"GEORGIA, UNIVERSITY OF",Public,June 1,$50,December 15,Semester,August,"January, June, August",88,,,,,,,
,2022,GOLDEN GATE UNIVERSITY,Private,"April 15, 2023",$0,,Semester,August,"December, May, July/August",88,,,,,,,
,2022,GONZAGA UNIVERSITY,Private,04/15,$0,02/01,Semester,"May, August","January, June, July, August",90,,,,,,,
,2022,HARVARD UNIVERSITY,Private,"February 20, 2023",$85,April 15,Semester,"August, September","February, March, May, November",88,,,,,,,
,2022,"HAWAII, UNIVERSITY OF",Public,April 1,$75.00,April 15,Semester,August,"August, December, May",89,,,,,,,
,2022,HOFSTRA UNIVERSITY,Private,April 15,$0,April 15,Semester,August,"May, August, December",87,,,,,,,
,2022,"HOUSTON, UNIVERSITY OF",Public,FT March 15; PT May 15,$0,"January 15, 2023",Semester,"January, June, August","May, August, December",90,,,,,,,
,2022,HOWARD UNIVERSITY,Private,"February 28, 2023",$60,"May 10, 2023",Semester,August,"December, May & July",88,,,,,,,
,2022,"IDAHO, UNIVERSITY OF",Public,June 30,$50.00,January 1,Semester,August,"December, May, August",90,,,,,,,
,2022,"ILLINOIS, UNIVERSITY OF",Public,"March 15, 2023",$0.00,"March 15, 2023",Semester,August,May and December,90,,,,,,,
,2022,INDIANA UNIVERSITY - BLOOMINGTON,Public,July 15; June 15 for Advanced Standing; July 1 for Transfer,$50; $85 for international applicants,April 15,Semester,August,All Months,88,,,,,,,
,2022,INDIANA UNIVERSITY - INDIANAPOLIS,Public,May 15,$0,March 1,Semester,August,"May, August, and December",90,,,,,,,
,2022,INTER AMERICAN UNIVERSITY OF PUERTO RICO,Public,"NOVEMBER, 3Oth/MARCH, 30th",$63.00,06/30/2022,Semester,AUGUST/JANUARY,DECEMBER/MAY,92,,,,,,,
,2022,"IOWA, UNIVERSITY OF",Public,May 1,$0,,Semester,August,"May, August & December",88,,,,,,,
,2022,"KANSAS, UNIVERSITY OF",Public,"March 1, 2023",$55,"February 15, 2023",Semester,May and August,"May, August and December",90,,,,,,,
,2022,"KENTUCKY, UNIVERSITY OF",Public,"April 15, 2023",$50.00,"February 1, 2023",Semester,August,"May, August, December",90,,,,,,,
,2022,LEWIS AND CLARK COLLEGE,Private,3/15,$50,2/15,Semester,August,"January, May",90,,,,,,,
,2022,LIBERTY UNIVERSITY,Private,August 1,Waived,,Semester,August,May,90,,,,,,,
,2022,LINCOLN MEMORIAL,Private,"July 15, 2023",$0,"June 1, 2023",Semester,August,December and May,90,,,,,,,
,2022,LOUISIANA STATE UNIVERSITY,Public,June 15,$50,May 1,Semester,August,"May, August, December",94,,,,,,,
,2022,"LOUISVILLE, UNIVERSITY OF",Public,April 15,$0,June 30,Semester,August,"May, December",90,,,,,,,
,2022,LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,Private,"February 1, April 15",$65,March 15,Semester,August,"January, May, July, December",87,,,,,,,
,2022,LOYOLA UNIVERSITY-CHICAGO,Private,May 1,$0,March 1,Semester,August,January and May,86,,,,,,,
,2022,LOYOLA UNIVERSITY-NEW ORLEANS,Private,07/21/2023,$0,,Semester,August,"December, May, August",90,,,,,,,
,2022,"MAINE, UNIVERSITY OF",Public,July 15,$0,February 15,Semester,August,"December, May, August",90,,,,,,,
,2022,MARQUETTE UNIVERSITY,Private,4/1/2023,$50,2/1/2023,Semester,August,Every month,90,,,,,,,
,2022,"MARYLAND, UNIVERSITY OF",Public,April 1,$70,March 1,Semester,August,"May, August, and December",85,,,,,,,
,2022,MCGEORGE SCHOOL OF LAW,Private,"2/1/2023 priority deadline, 6/1/2023 deadline",$0,03/03/2023,Semester,August,"January, May, June, July, August, & December",88,,,,,,,
,2022,"MEMPHIS, UNIVERSITY OF",Public,March 15,$0,April 1,Semester,August,"May, August, December",90,,,,,,,
,2022,MERCER UNIVERSITY,Private,6/1/23,$0,5/1/23,Semester,August,May,89,,,,,,,
,2022,"MIAMI, UNIVERSITY OF",Private,July 31,$60,4/15/2023,Semester,"August, January, May","December, May, July",88,,,,,,,
,2022,MICHIGAN STATE UNIVERSITY,Public,04/30/2023,$60,04/01/2023,Semester,January/August,December/May/July,88,,,,,,,
,2022,"MICHIGAN, UNIVERSITY OF",Public,February 28,$75,,Semester,August,May,83,,,,,,,
,2022,"MINNESOTA, UNIVERSITY OF",Public,6/1/23,$60,7/15/23,Semester,September,"December, May, and July",88,,,,,,,
,2022,MISSISSIPPI COLLEGE,Private,7/01/2023,$0,8/01/2023,Semester,"June, July, August","August, December & May",90,,,,,,,
,2022,"MISSISSIPPI, UNIVERSITY OF",Public,"April 1, 2023",$40,"February 15, 2023",Semester,May and August,"May, August, and December",90,,,,,,,
,2022,"MISSOURI, UNIVERSITY OF",Public,"March 15, 2023",$60,"March 1, 2023",Semester,August,"December, May and July",89,,,,,,,
,2022,"MISSOURI-KANSAS CITY, UNIVERSITY OF",Public,"March 1, November 1",$60,"March 1, September 1",Semester,"August, January, May","May, August and December",91,,,,,,,
,2022,MITCHELL|HAMLINE,Private,July 1,$0,August 1,Semester,August,January and May,86,,,,,,,
,2022,"MONTANA, UNIVERSITY OF",Public,July 15,$75,February 15,Semester,August,May,90,,,,,,,
,2022,"NEBRASKA, UNIVERSITY OF",Public,March 1,$50,,Semester,August,"August, December, May",93,,,,,,,
,2022,NEW ENGLAND LAW | BOSTON,Private,May 1,$0,03/15/2023,Semester,August,May,86,,,,,,,
,2022,NEW HAMPSHIRE UNIVERSITY OF,Public,Priority 3/15/2022; Final Deadline 7/15/2022,$0,"March 1st, 2023",,August,"May, September & December",85,,,,,,,
,2022,"NEW MEXICO, UNIVERSITY OF",Public,March 1,$50.00,March 1,Semester,August,May/December,86,,,,,,,
,2022,NEW YORK LAW SCHOOL,Private,July 1,$0,July 1,Semester,August,"February, June, and September",86,,,,,,,
,2022,NEW YORK UNIVERSITY,Private,February 15,$85,4/15,Semester,August,"January, May, September",83,,,,,,,
,2022,NORTH CAROLINA CENTRAL UNIVERSITY,Public,April 30,$50,May 31,Semester,"June, August","December, May",88,,,,,,,
,2022,"NORTH CAROLINA, UNIVERSITY OF",Public,May 1,$75,"March 1, 2023",Semester,August,"May, August, December",86,,,,,,,
,2022,"NORTH DAKOTA, UNIVERSITY OF",Public,July 15,$35,2/1/2023; 3/1/2023,Semester,August,"May, August and December",90,,,,,,,
,2022,NORTHEASTERN UNIVERSITY,Private,03/01/2023,,02/15/2023,Semester,August,"May, September and December",83 credits for students entering Fall 2020 or later,,,,,,,
,2022,NORTHERN ILLINOIS UNIVERSITY,Public,April 1,,July 1,Semester,August,"May, August, December",90,,,,,,,
,2022,NORTHERN KENTUCKY UNIVERSITY,Public,No Deadline,$40.00,No Deadline,Semester,May/August,May/August/December,90,,,,,,,
,2022,NORTHWESTERN UNIVERSITY,Private,"February 15, 2023",$75,"March 1, 2023",Semester,August,January and June,85,,,,,,,
,2022,"NOTRE DAME, UNIVERSITY OF",Private,March 15,$75,Feb 28,,August,"May, August, January",90,,,,,,,
,2022,NOVA SOUTHEASTERN UNIVERSITY,Private,July 1,$0,Priority-March 15,Semester,August,January and June,90,,,,,,,
,2022,OHIO NORTHERN UNIVERSITY,Private,August 1,,5/1/2023,Semester,August,December & May,90,,,,,,,
,2022,OHIO STATE UNIVERSITY,Public,July 1,$60,March 31,Semester,August,May,88,,,,,,,
,2022,OKLAHOMA CITY UNIVERSITY,Private,07/15/2023,$50.00,03/01/2023,Semester,May and August,"May, July and December",90,,,,,,,
,2022,"OKLAHOMA, UNIVERSITY OF",Public,March 15,$50,June 1,Semester,"August, June","January, May, August",90,,,,,,,
,2022,"OREGON, UNIVERSITY OF",Public,"March 1, 2022",$0,"March 1, 2022",Semester,August,"December, May, & July",85,,,,,,,
,2022,PACE UNIVERSITY,Private,December 1 and June 1,$70,November 15,Semester,August and January,"January, May, and September",88,,,,,,,
,2022,PENNSYLVANIA STATE - DICKINSON LAW,Public,"June 30, 2023",$0,"Priority: 03-01-2023, accepted through 06-30-2023",Semester,August,"August, December, May",88,,,,,,,
,2022,PENNSYLVANIA STATE - PENN STATE LAW,Public,3/31/2023,$60,3/1/2023; 4/15/2023,Semester,August,"December, May and August",88,,,,,,,
,2022,"PENNSYLVANIA, UNIVERSITY OF",Private,March 1,$80.00,March 1,Semester,September,May; August; December,86,,,,,,,
,2022,PEPPERDINE UNIVERSITY,Private,04/01/2023,$0,06/01/2023,Semester,"May, August","December, May, August",88,,,,,,,
,2022,"PITTSBURGH, UNIVERSITY OF",Public,May 1,$65,February 1 and April 15,Semester,August,"December, May, August",88,,,,,,,
,2022,PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,Private,June 30/November 30,$75,September 1/February 13,Semester,August/January,December/May,94,,,,,,,
,2022,"PUERTO RICO, UNIVERSITY OF",Public,March 31,$20,June 28,Semester,August,June,92,,,,,,,
,2022,QUINNIPIAC UNIVERSITY,Private,March 1 (priority); August 1,$0,March 1 (priority),Semester,August,"May, July, December",86,,,,,,,
,2022,REGENT UNIVERSITY,Private,"July 31, 2023",$65,"July 31, 2023",Semester,August,"May, August, December",90,,,,,,,
,2022,"RICHMOND, UNIVERSITY OF",Private,March 1,$0,July 1,Semester,August,"January, May, August",87,,,,,,,
,2022,ROGER WILLIAMS UNIVERSITY,Private,April 1,$60.00,March 15,Semester,August,"May, August, December",90,,,,,,,
,2022,RUTGERS UNIVERSITY,Public,July 1,$0,July 1,Semester,"June (Summer Jumpstart, Camden only), August","January, May, October",84 (students who matriculated prior to 21);  90 (students who matriculated in June 2021 or after),,,,,,,
,2022,SAINT LOUIS UNIVERSITY,Private,Rolling,$0,02/01/2023,Semester,August,"May, August, December",91,,,,,,,
,2022,SAMFORD UNIVERSITY,Private,March 1,$0,March 1,Semester,August,May,90,,,,,,,
,2022,"SAN DIEGO, UNIVERSITY OF",Private,"December 1, February 1 and June 1",$0,March 1,Semester,August,"May, August, December",88,,,,,,,
,2022,"SAN FRANCISCO, UNIVERSITY OF",Private,"February 1, 2023",$60,"February 1, 2023",Semester,August,"May, July, December",87,,,,,,,
,2022,SANTA CLARA UNIVERSITY,Private,"February 15, 2023",$0,"March 1, 2023",Semester,August,"May, July, December",86,,,,,,,
,2022,SEATTLE UNIVERSITY,Private,,$65,,Semester,June. August,"August, December, and May",90,,,,,,,
,2022,SETON HALL UNIVERSITY,Private,April 1st,$65,April 4th,Semester,August,"August, January, May",88,,,,,,,
,2022,"SOUTH CAROLINA, UNIVERSITY OF",Public,"Priority deadline: March 1, 2023. Applications accepted through July 1, 2023",$60.00,"March 1, 2023",Semester,August,"May, August, December",90,,,,,,,
,2022,"SOUTH DAKOTA, UNIVERSITY OF",Public,July 1,$35,July 1,Semester,August,"May, August, December",90,,,,,,,
,2022,SOUTH TEXAS COLLEGE OF LAW HOUSTON,Private,5/8/2023 and 12/1/2023,$55,5/1/2023,Semester,August and January,"May, July and December",90,,,,,,,
,2022,"SOUTHERN CALIFORNIA, UNIVERSITY OF",Private,February 1st priority. April 1st final.,$75,March 1,Semester,August,May,88,,,,,,,
,2022,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,Public,"July 15, 2023",$0.00,"April 1, 2023",Semester,August,"May, August, December",90,,,,,,,
,2022,SOUTHERN METHODIST UNIVERSITY,Private,March 1,$0,October 1 and April 15,Semester,"August only 1Ls; August, January, or June for transfer students","May, August, and December",87,,,,,,,
,2022,SOUTHERN UNIVERSITY,Public,May 1,$75,April 15,Semester,August,May & December,90,,,,,,,
,2022,SOUTHWESTERN LAW SCHOOL,Private,April 1,$60,April 1,Semester,June and August,"January, May, July, and December",87,,,,,,,
,2022,ST. JOHN'S UNIVERSITY,Private,3/15,$0,,Semester,August,"September, January, June",89,,,,,,,
,2022,ST. MARY'S UNIVERSITY,Private,Rolling admissions,$0,March 1,Semester,August,"August, December and May",90,,,,,,,
,2022,ST. THOMAS UNIVERSITY (FLORIDA),Private,July 1,$40,June 1,Semester,"August, January","May, July, December",90,,,,,,,
,2022,"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",Private,08/01/2023,$0,07/01/2023,Semester,August,May,88,,,,,,,
,2022,STANFORD UNIVERSITY,Private,"February 15, 2023",$85,"March 15, 2023",Quarter,September,"January, March, June, September",111,,,,,,,
,2022,STETSON UNIVERSITY,Private,May 15,$55,August 1,Semester,August,"May, August, December",88,,,,,,,
,2022,SUFFOLK UNIVERSITY,Private,"4/1/2023, 4/1/2024",$60,03/01/2023,Semester,"August, May","January, May, September",84,,,,,,,
,2022,SYRACUSE UNIVERSITY,Private,"July 15, 2023",$75.00,"February 1, 2023",Semester,August,"May, August, December",87,,,,,,,
,2022,TEMPLE UNIVERSITY,Public,"March 1, 2023",$65,"March 1, 2023",Semester,August,"January, May, July",88,,,,,,,
,2022,"TENNESSEE, UNIVERSITY OF",Public,"August 10, 2023",$35.00,"August 10, 2023",Semester,August,December and May,89,,,,,,,
,2022,TEXAS A&M UNIVERSITY,Public,"JD: May 31, JD Transfer: July 31",$0,March 15 (Preferred Deadline),Semester,August,"May, August, December",90,,,,,,,
,2022,"TEXAS AT AUSTIN, UNIVERSITY OF",Public,March 1,$70,January 15,Semester,August,"May, August, December",86,,,,,,,
,2022,TEXAS SOUTHERN UNIVERSITY,Public,"July 15, 2022",$55,March 5th,Semester,August and January,January and June,90,,,,,,,
,2022,TEXAS TECH UNIVERSITY,Public,"May 1, 2023",$0,"May 1, 2023",Semester,August,"May, July, December",90,,,,,,,
,2022,THOMAS M. COOLEY LAW SCHOOL,Private,"1/1, 5/1, 9/1",$0,"1/1, 5/1, 9/1",Semester,"September, January, May","September, January, May",90,,,,,,,
,2022,"TOLEDO, UNIVERSITY OF",Public,"11/15/2022, 08/01/2023",$0,08/01/2023,Semester,"August, January","May, August, December",89,,,,,,,
,2022,TOURO UNIVERSITY,Private,"December 31st, July 31st",$0,January 2 and August 1,Semester,January and August,"January, June, September",88,,,,,,,
,2022,TULANE UNIVERSITY,Private,August 1,$60,March 1,Semester,August,"January, May, July",88,,,,,,,
,2022,"TULSA, UNIVERSITY OF",Private,Fall deadline is 7/31; Summer start deadline is 4/22; Spring start deadline is 12/1,$30,July 1,Semester,"August, January, July","May, August, December",88,,,,,,,
,2022,UNIVERSITY OF BUFFALO-SUNY,Public,3/1/2023,$85.00,3/1/2023,Semester,"August, February","August, February, June",90,,,,,,,
,2022,"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",Public,4/15,$0,4/15,Semester,August,"August, December, May",86,,,,,,,
,2022,UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,Public,Applications are accepted on a rolling basis,,April 5 and November 16,Semester,August and January,"December, May, and August",90,,,,,,,
,2022,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,Public,6/30/2023,$50,6/30/2023,Semester,August,"January, May, August",90,,,,,,,
,2022,UNIVERSITY OF NEVADA - LAS VEGAS,Public,March 15,$50,March 15,Semester,August,December; May; and August,89,,,,,,,
,2022,UNT DALLAS COLLEGE OF LAW,Public,April 30,$0,March 1,Semester,August,"May, August, and January",90,,,,,,,
,2022,"UTAH, UNIVERSITY OF",Public,March 10,$60,April 1,Semester,August,"May, August, December",88,,,,,,,
,2022,VANDERBILT UNIVERSITY,Private,April 1,$70,February 1,Semester,August,May,88,,,,,,,
,2022,VERMONT LAW SCHOOL,Private,3/1/23 (Summer) and 4/15/23 (Fall),$60.00,"August 1, 2023",Semester,"May, August","May, October, January",87,,,,,,,
,2022,VILLANOVA UNIVERSITY,Private,July 1,$0,June 1,Semester,August,"September, December, May",90,,,,,,,
,2022,"VIRGINIA, UNIVERSITY OF",Public,03/01/2023,$85,02/10/2023,Semester,August,"May, August, December",86,,,,,,,
,2022,WAKE FOREST UNIVERSITY,Private,"March 1, 2023",$75,"July 1, 2023",Semester,August,"May, August, December",90,,,,,,,
,2022,WASHBURN UNIVERSITY,Public,"August 1, December 1",$0,"August 1, December 1",Semester,"August, January","May, July, August, December",90,,,,,,,
,2022,WASHINGTON AND LEE UNIVERSITY,Private,March 1,,April 1 for returning students,Semester,August,"May, October, December",85,,,,,,,
,2022,WASHINGTON UNIVERSITY,Private,Rolling,$0.00,March 1,Semester,August,"May, June, August, December",86,,,,,,,
,2022,"WASHINGTON, UNIVERSITY OF",Public,03/15,$60,01/15/2023,Quarter,September,"March, June, August, December",135,,,,,,,
,2022,WAYNE STATE UNIVERSITY,Public,August 1,$0,March 15,Semester,August,"May, August, December",86,,,,,,,
,2022,WEST VIRGINIA UNIVERSITY,Public,March 15,$50,March 1,Semester,August,"May, August, December",91,,,,,,,
,2022,WESTERN NEW ENGLAND UNIVERSITY,Private,March 15,$0,June 1,Semester,August,"Feb., May, August, Oct.",88,,,,,,,
,2022,WESTERN STATE COLLEGE OF LAW,Private,"December 1 (Spring), July 1 (Fall)",$60,"April 1,  October 1",Semester,"August, January","December, May, August",87,,,,,,,
,2022,WIDENER UNIVERSITY-DELAWARE,Private,May 15,Waived until February 1st; $60 thereafter,4/1/2023,Semester,August,May; August; December,90,,,,,,,
,2022,WIDENER-COMMONWEALTH,Private,"July 1, 2023",$60,,Semester,August,"May, August, December",90,,,,,,,
,2022,WILLAMETTE UNIVERSITY,Private,August 1,$0,March 1,Semester,August,"January, May, August",90,,,,,,,
,2022,WILLIAM AND MARY LAW SCHOOL,Public,"March 1, 2023",$85.00,February 15,Semester,August,"January, May, September",86,,,,,,,
,2022,"WISCONSIN, UNIVERSITY OF",Public,"Early Decision 11/30/2022, Regular Decision 4/3/2023, Transfer 7/1/2023",$60,4/15/2023,Semester,September,"May, August, December",90,,,,,,,
,2022,"WYOMING, UNIVERSITY OF",Public,April 15,$50,Oct. 1 - FAFSA applications open for federal financial aid for the following year; Tuition and fees due two weeks after start date,Semester,August,May,90,,,,,,,
,2022,YALE UNIVERSITY,Private,2/15,$85,3/15,Semester,August,"February, April, May/June, September/October, December",83,,,,,,,
"Akron, The University of",2023,,,,,,Semesters,,,,Public,03/31/2024 and 11/30/2024,0,03/31/2024 and 11/30/2024,"August, January, May","January, May",88
"Alabama, The University of",2023,,,,,,Semesters,,,,Public,,$40,,August,"May, August, December",90
Albany Law School,2023,,,,,,Semesters,,,,Private,December 31 and August 1,0,,"August, January","May, July, December",87
American University,2023,,,,,,Semesters,,,,Private,3/1,70,3/1,August,"May, August, December",86
Appalachian School of Law,2023,,,,,,Semesters,,,,Private,July 31 and December 31,0,July 31 and December 31,August or January,"May, August, or December",92
Arizona State University,2023,,,,,,Semesters,,,,Public,3/1,0,3/15/2024,"August, January","May, December, August",88
"Arizona, The University of",2023,,,,,,Semesters,,,,Public,"July 15, 2024",0,"March 1, 2024",August and January,"May, August, and December",88
"Arkansas at Little Rock, University of",2023,,,,,,Semesters,,,,Public,April 1,0,April 1,August,"May, August, December",90
"Arkansas, University of",2023,,,,,,Semesters,,,,Public,04/01/2024,0,06/01/2024,August,"December, May",90
Atlanta's John Marshall Law School,2023,,,,,,Semesters,,,,Private,"July 22, 2024",$0,"July 15, 2024",August,May and December,88
